Player Display Name,Player First Name,Player Last Name,Player Primary Position,Session Title,Session Type,Session Day of Week,Session Week Number,Drill Title,Total Time,Total Distance,Distance Per Min,Distance Zone 4 (Absolute),Distance Zone 4 (Relative),Distance Zone 5 (Absolute),Distance Zone 5 (Relative),Distance Zone 6 (Absolute),Distance Zone 6 (Relative),High Speed Running (Absolute),High Speed Running (Relative),HSR Per Minute (Absolute),HSR Per Minute (Relative),Sprint Distance,Sprints,Entries Zone 4 (Absolute),Entries Zone 4 (Relative),Entries Zone 5 (Absolute),Entries Zone 5 (Relative),Entries Zone 6 (Absolute),Entries Zone 6 (Relative),Max Speed,Player Max Speed,Accelerations (Absolute),Accelerations (Relative),Acceleration Impulse,Accelerations Zone 4 (Absolute),Accelerations Zone 4 (Relative),Accelerations Zone 5 (Absolute),Accelerations Zone 5 (Relative),Accelerations Zone 6 (Absolute),Accelerations Zone 6 (Relative),Accelerations Total Distance Zone 4 (Absolute),Accelerations Total Distance Zone 4 (Relative),Accelerations Total Distance Zone 5 (Absolute),Accelerations Total Distance Zone 5 (Relative),Accelerations Total Distance Zone 6 (Absolute),Accelerations Total Distance Zone 6 (Relative),Accelerations Per Min (Absolute),Accelerations Per Min (Relative),Player Max Accel,Max Acceleration,Decelerations (Absolute),Decelerations (Relative),Decelerations Zone 4 (Absolute),Decelerations Zone 4 (Relative),Decelerations Zone 5 (Absolute),Decelerations Zone 5 (Relative),Decelerations Zone 6 (Absolute),Decelerations Zone 6 (Relative),Decelerations Total Distance Zone 4 (Absolute),Decelerations Total Distance Zone 4 (Relative),Decelerations Total Distance Zone 5 (Absolute),Decelerations Total Distance Zone 5 (Relative),Decelerations Total Distance Zone 6 (Absolute),Decelerations Total Distance Zone 6 (Relative),Decels Per Min (Absolute),Decelerations Per Min (Relative),Player Max Decel,Max Deceleration,Average Time Since Last Accel,Average Time Since Last Decel,HML Efforts,Dynamic Load Anterior,Dynamic Load Lateral,Dynamic Load Vertical,Mechanical Load,Total Loading,Time In Heart Rate Zone 5 (Absolute),Time In Heart Rate Zone 5 (Relative),Time In Heart Rate Zone 6 (Absolute),Time In Heart Rate Zone 6 (Relative),Average Heart Rate,Heart Rate Load,Max Heart Rate,Player Max Heart Rate,Step Balance,Fatigue Index,Drill Date,Session Date,Unnamed: 89
Alexiou,,Alexiou,Central Defender,Team Training,MD-4,Tuesday,32,Entire Session,79,5478,70.4,144,126,78,69,46,41,261,223,3.3,3.3,65,2,3,3,1,1,0,0,28.7,32.2,19,17,0,9,8,5,5,3,3,0,0,0,0,0,0,0.2,0.2,5.4,4.4,18,16,9,8,5,5,3,3,0,0,0,0,0,0,0.2,0.2,-5.6,-4.3,13.8,14.4,24,167,146,104,417,471,7.8,6.5,2.3,2.0,145,137,191,196,-0.11,5.3,8/5/2025,8/5/2025,Inter Milan U23
Alexiou,,Alexiou,Central Defender,Team Training,MD-4,Tuesday,32,Warm Up General + Ball,16,1109,70.4,29,126,16,69,9,41,53,223,3.3,3.3,13,0,1,3,0,1,0,0,28.7,32.2,4,17,0,2,8,1,5,1,3,0,0,0,0,0,0,0.2,0.2,5.4,4.4,4,16,2,8,1,5,1,3,0,0,0,0,0,0,0.2,0.2,-5.6,-4.3,13.8,14.4,5,34,30,21,84,95,1.6,6.5,0.5,2.0,145,28,191,196,-0.11,5.3,8/5/2025,8/5/2025,Inter Milan U23
Alexiou,,Alexiou,Central Defender,Team Training,MD-4,Tuesday,32,Rondo 8v2,10,693,70.4,18,126,10,69,6,41,33,223,3.3,3.3,8,0,0,3,0,1,0,0,28.7,32.2,2,17,0,1,8,1,5,0,3,0,0,0,0,0,0,0.2,0.2,5.4,4.4,2,16,1,8,1,5,0,3,0,0,0,0,0,0,0.2,0.2,-5.6,-4.3,13.8,14.4,3,21,18,13,53,60,1.0,6.5,0.3,2.0,145,17,191,196,-0.11,5.3,8/5/2025,8/5/2025,Inter Milan U23
Alexiou,,Alexiou,Central Defender,Team Training,MD-4,Tuesday,32,Passing Medium,10,693,70.4,18,126,10,69,6,41,33,223,3.3,3.3,8,0,0,3,0,1,0,0,28.7,32.2,2,17,0,1,8,1,5,0,3,0,0,0,0,0,0,0.2,0.2,5.4,4.4,2,16,1,8,1,5,0,3,0,0,0,0,0,0,0.2,0.2,-5.6,-4.3,13.8,14.4,3,21,18,13,53,60,1.0,6.5,0.3,2.0,145,17,191,196,-0.11,5.3,8/5/2025,8/5/2025,Inter Milan U23
Alexiou,,Alexiou,Central Defender,Team Training,MD-4,Tuesday,32,SSG 7v7,17,1179,70.4,31,126,17,69,10,41,56,223,3.3,3.3,14,0,1,3,0,1,0,0,28.7,32.2,4,17,0,2,8,1,5,1,3,0,0,0,0,0,0,0.2,0.2,5.4,4.4,4,16,2,8,1,5,1,3,0,0,0,0,0,0,0.2,0.2,-5.6,-4.3,13.8,14.4,5,36,31,22,90,101,1.7,6.5,0.5,2.0,145,29,191,196,-0.11,5.3,8/5/2025,8/5/2025,Inter Milan U23
Alexiou,,Alexiou,Central Defender,Team Training,MD-4,Tuesday,32,Tactical 11v11 MD-4,16,1109,70.4,29,126,16,69,9,41,53,223,3.3,3.3,13,0,1,3,0,1,0,0,28.7,32.2,4,17,0,2,8,1,5,1,3,0,0,0,0,0,0,0.2,0.2,5.4,4.4,4,16,2,8,1,5,1,3,0,0,0,0,0,0,0.2,0.2,-5.6,-4.3,13.8,14.4,5,34,30,21,84,95,1.6,6.5,0.5,2.0,145,28,191,196,-0.11,5.3,8/5/2025,8/5/2025,Inter Milan U23
Alexiou,,Alexiou,Central Defender,Team Training,MD-4,Tuesday,32,Finishing,10,693,70.4,18,126,10,69,6,41,33,223,3.3,3.3,8,0,0,3,0,1,0,0,28.7,32.2,2,17,0,1,8,1,5,0,3,0,0,0,0,0,0,0.2,0.2,5.4,4.4,2,16,1,8,1,5,0,3,0,0,0,0,0,0,0.2,0.2,-5.6,-4.3,13.8,14.4,3,21,18,13,53,60,1.0,6.5,0.3,2.0,145,17,191,196,-0.11,5.3,8/5/2025,8/5/2025,Inter Milan U23
Allen,,Allen,Full Back,Team Training,MD-4,Tuesday,32,Entire Session,79,6679,85.7,266,241,145,131,99,90,484,427,6.2,6.2,141,5,6,5,3,2,2,1,30.6,34.2,23,21,0,11,10,6,6,4,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,22,20,11,10,6,6,4,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,30,206,180,129,514,576,7.8,6.8,2.3,2.1,145,167,191,196,-0.01,5.3,8/5/2025,8/5/2025,Inter Miami
Allen,,Allen,Full Back,Team Training,MD-4,Tuesday,32,Warm Up General + Ball,16,1353,85.7,54,241,29,131,20,90,98,427,6.2,6.2,29,1,1,5,1,2,0,1,30.6,34.2,5,21,0,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,4,20,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,6,42,36,26,104,117,1.6,6.8,0.5,2.1,145,34,191,196,-0.01,5.3,8/5/2025,8/5/2025,Inter Miami
Allen,,Allen,Full Back,Team Training,MD-4,Tuesday,32,Rondo 8v2,10,845,85.7,34,241,18,131,13,90,61,427,6.2,6.2,18,1,1,5,0,2,0,1,30.6,34.2,3,21,0,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,3,20,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,4,26,23,16,65,73,1.0,6.8,0.3,2.1,145,21,191,196,-0.01,5.3,8/5/2025,8/5/2025,Inter Miami
Allen,,Allen,Full Back,Team Training,MD-4,Tuesday,32,Passing Medium,10,845,85.7,34,241,18,131,13,90,61,427,6.2,6.2,18,1,1,5,0,2,0,1,30.6,34.2,3,21,0,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,3,20,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,4,26,23,16,65,73,1.0,6.8,0.3,2.1,145,21,191,196,-0.01,5.3,8/5/2025,8/5/2025,Inter Miami
Allen,,Allen,Full Back,Team Training,MD-4,Tuesday,32,SSG 7v7,17,1437,85.7,57,241,31,131,21,90,104,427,6.2,6.2,30,1,1,5,1,2,0,1,30.6,34.2,5,21,0,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,5,20,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,6,44,39,28,111,124,1.7,6.8,0.5,2.1,145,36,191,196,-0.01,5.3,8/5/2025,8/5/2025,Inter Miami
Allen,,Allen,Full Back,Team Training,MD-4,Tuesday,32,Tactical 11v11 MD-4,16,1353,85.7,54,241,29,131,20,90,98,427,6.2,6.2,29,1,1,5,1,2,0,1,30.6,34.2,5,21,0,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,4,20,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,6,42,36,26,104,117,1.6,6.8,0.5,2.1,145,34,191,196,-0.01,5.3,8/5/2025,8/5/2025,Inter Miami
Allen,,Allen,Full Back,Team Training,MD-4,Tuesday,32,Finishing,10,845,85.7,34,241,18,131,13,90,61,427,6.2,6.2,18,1,1,5,0,2,0,1,30.6,34.2,3,21,0,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,3,20,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,4,26,23,16,65,73,1.0,6.8,0.3,2.1,145,21,191,196,-0.01,5.3,8/5/2025,8/5/2025,Inter Miami
Bakoulas,,Bakoulas,Defensive Midfielder,Team Training,MD-4,Tuesday,32,Entire Session,74,6379,87.6,165,167,90,91,52,52,300,298,4.1,4.1,74,3,4,4,1,1,0,0,28.6,32.2,22,22,0,11,11,6,6,4,4,0,0,0,0,0,0,0.3,0.3,5.3,4.3,22,22,11,11,6,6,4,4,0,0,0,0,0,0,0.3,0.3,-5.5,-4.3,14.2,14.0,29,196,171,122,491,551,7.3,7.1,2.2,2.1,144,160,190,196,0.01,5.4,8/5/2025,8/5/2025,Olympiacos
Bakoulas,,Bakoulas,Defensive Midfielder,Team Training,MD-4,Tuesday,32,Warm Up General + Ball,15,1293,87.6,33,167,18,91,11,52,61,298,4.1,4.1,15,1,1,4,0,1,0,0,28.6,32.2,4,22,0,2,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.3,4.3,4,22,2,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.5,-4.3,14.2,14.0,6,40,35,25,100,112,1.5,7.1,0.4,2.1,144,32,190,196,0.01,5.4,8/5/2025,8/5/2025,Olympiacos
Bakoulas,,Bakoulas,Defensive Midfielder,Team Training,MD-4,Tuesday,32,Rondo 8v2,10,862,87.6,22,167,12,91,7,52,41,298,4.1,4.1,10,0,1,4,0,1,0,0,28.6,32.2,3,22,0,1,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.3,4.3,3,22,1,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.5,-4.3,14.2,14.0,4,26,23,16,66,74,1.0,7.1,0.3,2.1,144,22,190,196,0.01,5.4,8/5/2025,8/5/2025,Olympiacos
Bakoulas,,Bakoulas,Defensive Midfielder,Team Training,MD-4,Tuesday,32,Passing Medium,10,862,87.6,22,167,12,91,7,52,41,298,4.1,4.1,10,0,1,4,0,1,0,0,28.6,32.2,3,22,0,1,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.3,4.3,3,22,1,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.5,-4.3,14.2,14.0,4,26,23,16,66,74,1.0,7.1,0.3,2.1,144,22,190,196,0.01,5.4,8/5/2025,8/5/2025,Olympiacos
Bakoulas,,Bakoulas,Defensive Midfielder,Team Training,MD-4,Tuesday,32,SSG 7v7,16,1379,87.6,36,167,19,91,11,52,65,298,4.1,4.1,16,1,1,4,0,1,0,0,28.6,32.2,5,22,0,2,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.3,4.3,5,22,2,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.5,-4.3,14.2,14.0,6,42,37,26,106,119,1.6,7.1,0.5,2.1,144,35,190,196,0.01,5.4,8/5/2025,8/5/2025,Olympiacos
Bakoulas,,Bakoulas,Defensive Midfielder,Team Training,MD-4,Tuesday,32,Tactical 11v11 MD-4,15,1293,87.6,33,167,18,91,11,52,61,298,4.1,4.1,15,1,1,4,0,1,0,0,28.6,32.2,4,22,0,2,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.3,4.3,4,22,2,11,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.5,-4.3,14.2,14.0,6,40,35,25,100,112,1.5,7.1,0.4,2.1,144,32,190,196,0.01,5.4,8/5/2025,8/5/2025,Olympiacos
Bakoulas,,Bakoulas,Defensive Midfielder,Team Training,MD-4,Tuesday,32,Finishing,8,690,87.6,18,167,10,91,6,52,32,298,4.1,4.1,8,0,0,4,0,1,0,0,28.6,32.2,2,22,0,1,11,1,6,0,4,0,0,0,0,0,0,0.3,0.3,5.3,4.3,2,22,1,11,1,6,0,4,0,0,0,0,0,0,0.3,0.3,-5.5,-4.3,14.2,14.0,3,21,18,13,53,60,0.8,7.1,0.2,2.1,144,17,190,196,0.01,5.4,8/5/2025,8/5/2025,Olympiacos
Botis,,Botis,Goalkeeper,Team Training,MD-4,Tuesday,32,Entire Session,68,2441,36.5,21,21,12,11,5,5,39,38,0.6,0.6,7,0,0,0,0,0,0,0,24.1,27.2,8,8,0,4,4,2,2,1,1,0,0,0,0,0,0,0.1,0.1,5.4,4.4,8,8,4,4,2,2,1,1,0,0,0,0,0,0,0.1,0.1,-5.5,-4.5,13.9,14.0,10,75,65,47,186,210,6.7,6.4,2.0,1.9,145,61,192,196,0.05,5.2,8/5/2025,8/5/2025,Olympiacos
Botis,,Botis,Goalkeeper,Team Training,MD-4,Tuesday,32,Warm Up General + Ball,14,503,36.5,4,21,2,11,1,5,8,38,0.6,0.6,1,0,0,0,0,0,0,0,24.1,27.2,2,8,0,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,5.4,4.4,2,8,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,-5.5,-4.5,13.9,14.0,2,15,13,10,38,43,1.4,6.4,0.4,1.9,145,13,192,196,0.05,5.2,8/5/2025,8/5/2025,Olympiacos
Botis,,Botis,Goalkeeper,Team Training,MD-4,Tuesday,32,Rondo 8v2,9,323,36.5,3,21,2,11,1,5,5,38,0.6,0.6,1,0,0,0,0,0,0,0,24.1,27.2,1,8,0,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,5.4,4.4,1,8,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,-5.5,-4.5,13.9,14.0,1,10,9,6,25,28,0.9,6.4,0.3,1.9,145,8,192,196,0.05,5.2,8/5/2025,8/5/2025,Olympiacos
Botis,,Botis,Goalkeeper,Team Training,MD-4,Tuesday,32,Passing Medium,9,323,36.5,3,21,2,11,1,5,5,38,0.6,0.6,1,0,0,0,0,0,0,0,24.1,27.2,1,8,0,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,5.4,4.4,1,8,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,-5.5,-4.5,13.9,14.0,1,10,9,6,25,28,0.9,6.4,0.3,1.9,145,8,192,196,0.05,5.2,8/5/2025,8/5/2025,Olympiacos
Botis,,Botis,Goalkeeper,Team Training,MD-4,Tuesday,32,SSG 7v7,15,538,36.5,5,21,3,11,1,5,9,38,0.6,0.6,2,0,0,0,0,0,0,0,24.1,27.2,2,8,0,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,5.4,4.4,2,8,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,-5.5,-4.5,13.9,14.0,2,17,14,10,41,46,1.5,6.4,0.4,1.9,145,13,192,196,0.05,5.2,8/5/2025,8/5/2025,Olympiacos
Botis,,Botis,Goalkeeper,Team Training,MD-4,Tuesday,32,Tactical 11v11 MD-4,14,503,36.5,4,21,2,11,1,5,8,38,0.6,0.6,1,0,0,0,0,0,0,0,24.1,27.2,2,8,0,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,5.4,4.4,2,8,1,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,-5.5,-4.5,13.9,14.0,2,15,13,10,38,43,1.4,6.4,0.4,1.9,145,13,192,196,0.05,5.2,8/5/2025,8/5/2025,Olympiacos
Botis,,Botis,Goalkeeper,Team Training,MD-4,Tuesday,32,Finishing,7,251,36.5,2,21,1,11,1,5,4,38,0.6,0.6,1,0,0,0,0,0,0,0,24.1,27.2,1,8,0,0,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,5.4,4.4,1,8,0,4,0,2,0,1,0,0,0,0,0,0,0.1,0.1,-5.5,-4.5,13.9,14.0,1,8,7,5,19,22,0.7,6.4,0.2,1.9,145,6,192,196,0.05,5.2,8/5/2025,8/5/2025,Olympiacos
Filon,,Filon,Full Back,Team Training,MD-4,Tuesday,32,Entire Session,76,6426,85.7,256,241,139,131,95,90,465,427,6.2,6.2,136,5,6,5,3,2,2,1,30.6,34.2,22,21,0,11,10,6,6,4,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,21,20,10,10,6,6,4,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,28,198,173,124,494,554,7.5,6.8,2.2,2.1,145,160,191,196,0.0,5.3,8/5/2025,8/5/2025,Levadiakos
Filon,,Filon,Full Back,Team Training,MD-4,Tuesday,32,Warm Up General + Ball,15,1268,85.7,51,241,27,131,19,90,92,427,6.2,6.2,27,1,1,5,1,2,0,1,30.6,34.2,4,21,0,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,4,20,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,6,39,34,24,98,109,1.5,6.8,0.4,2.1,145,32,191,196,0.0,5.3,8/5/2025,8/5/2025,Levadiakos
Filon,,Filon,Full Back,Team Training,MD-4,Tuesday,32,Rondo 8v2,10,846,85.7,34,241,18,131,12,90,61,427,6.2,6.2,18,1,1,5,0,2,0,1,30.6,34.2,3,21,0,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,3,20,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,4,26,23,16,65,73,1.0,6.8,0.3,2.1,145,21,191,196,0.0,5.3,8/5/2025,8/5/2025,Levadiakos
Filon,,Filon,Full Back,Team Training,MD-4,Tuesday,32,Passing Medium,10,846,85.7,34,241,18,131,12,90,61,427,6.2,6.2,18,1,1,5,0,2,0,1,30.6,34.2,3,21,0,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,3,20,1,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,4,26,23,16,65,73,1.0,6.8,0.3,2.1,145,21,191,196,0.0,5.3,8/5/2025,8/5/2025,Levadiakos
Filon,,Filon,Full Back,Team Training,MD-4,Tuesday,32,SSG 7v7,17,1437,85.7,57,241,31,131,21,90,104,427,6.2,6.2,30,1,1,5,1,2,0,1,30.6,34.2,5,21,0,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,5,20,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,6,44,39,28,110,124,1.7,6.8,0.5,2.1,145,36,191,196,0.0,5.3,8/5/2025,8/5/2025,Levadiakos
Filon,,Filon,Full Back,Team Training,MD-4,Tuesday,32,Tactical 11v11 MD-4,15,1268,85.7,51,241,27,131,19,90,92,427,6.2,6.2,27,1,1,5,1,2,0,1,30.6,34.2,4,21,0,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,5.4,4.1,4,20,2,10,1,6,1,4,0,0,0,0,0,0,0.3,0.3,-5.4,-4.3,13.7,13.2,6,39,34,24,98,109,1.5,6.8,0.4,2.1,145,32,191,196,0.0,5.3,8/5/2025,8/5/2025,Levadiakos
